BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;1;60;7680;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;1;105;13016;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;1;137;27344;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;1;176;53520;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;1;305;92648;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;1;545;67036;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;1;1059;61952;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;2;30;7680;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;2;52;13016;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;2;69;27344;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;2;90;53520;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;2;156;92648;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;2;277;67036;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;2;534;61952;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;4;15;7680;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;4;26;13016;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;4;35;27344;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;4;46;53520;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;4;80;92648;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;4;139;67036;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;4;267;61952;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;8;8;7680;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;8;14;13016;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;8;19;27344;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;8;26;53520;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;8;45;92648;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;8;71;67036;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;8;134;61952;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;16;5;7680;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;16;8;13016;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;16;12;27344;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;16;21;53520;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;16;36;92648;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;16;38;67036;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;16;68;61952;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;32;44;7680;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;32;92;13016;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;32;145;27344;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;32;230;53520;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;32;297;92648;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;32;268;67036;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;32;388;61952;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;1;3;7680;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;1;8;13016;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;1;20;27344;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;1;48;53520;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;1;118;92648;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;1;227;67036;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;1;458;61952;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;2;4;7680;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;2;9;13016;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;2;21;27344;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;2;43;53520;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;2;86;92648;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;2;140;67036;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;2;258;61952;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;4;3;7680;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;4;5;13016;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;4;12;27344;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;4;25;53520;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;4;48;92648;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;4;72;67036;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;4;129;61952;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;8;3;7680;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;8;4;13016;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/040.pts;;64;0.15;40;8;9;27344;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/080.pts;;64;0.15;80;8;18;53520;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/160.pts;;64;0.15;160;8;33;92648;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/320.pts;;64;0.15;320;8;39;67036;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/642.pts;;64;0.15;642;8;66;61952;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/010.pts;;64;0.15;10;16;3;7680;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/benchmark/020.pts;;64;0.15;20;16;5;13016;
